country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
St. Lucia,9830,9750,10400,10300,10400,10400,10600,10400,10900,11000,10900,10500,10400,10800,11500,11300,11900,11900,12400,12400,12100,12100,12100,12400,12300,12500,12700,13000
St. Vincent and the Grenadines,5580,5620,5970,6220,6140,6620,6710,6950,7240,7430,7550,7680,8150,8760,9110,9320,10000,9850,10500,10300,9920,9870,10000,10200,10300,10500,10600,10700
Sudan,1740,1830,1900,1930,1900,1960,2020,2170,2210,2210,2290,2370,2450,2570,2590,2710,2910,3160,3320,3340,3370,3630,4100,4180,4190,4290,4390,4470
Suriname,10500,10600,10400,9510,9660,9620,9600,10000,10100,9850,9730,10100,10400,10900,11800,12200,12500,13000,13400,13700,14200,14900,15100,15400,15300,14800,13900,13800
Swaziland,5380,5320,5370,5430,5460,5610,5700,5740,5770,5830,5840,5840,6050,6250,6430,6750,7060,7250,7180,7160,7300,7320,7530,7870,7870,7760,7720,7740
Sweden,30900,30400,29800,29100,30000,31100,31500,32400,33700,35200,36900,37300,38000,38700,40300,41200,42900,44100,43500,40900,42900,43800,43300,43500,44200,45700,46600,46900
Switzerland,48200,47100,46600,46100,46300,46300,46300,47300,48500,49100,50800,51100,50800,50500,51500,52800,54500,56300,56800,54800,55900,56200,56100,56500,57200,57300,57400,57400
Tajikistan,3640,3310,2310,1900,1470,1270,1040,1050,1080,1110,1180,1280,1390,1510,1630,1710,1790,1890,1990,2020,2110,2210,2320,2440,2550,2640,2760,2900
Tanzania,1470,1450,1410,1380,1360,1370,1390,1400,1420,1450,1480,1530,1590,1660,1730,1820,1850,1940,1990,2030,2090,2190,2230,2320,2400,2490,2580,2680
Thailand,6650,7130,7630,8190,8760,9380,9800,9420,8600,8890,9190,9420,9910,10500,11100,11500,12000,12600,12800,12600,13500,13500,14400,14800,14900,15300,15700,16300
Timor-Leste,,,,,,,,,,,3310,3530,3170,3020,4770,6290,8730,9040,9820,9110,8860,9720,9980,8670,6260,7400,7300,6570
Togo,1350,1310,1230,1020,1140,1200,1270,1410,1330,1330,1280,1220,1180,1200,1200,1180,1200,1190,1180,1190,1210,1230,1260,1280,1320,1350,1390,1430
Tonga,3570,3800,3800,3940,4120,4260,4250,4230,4330,4470,4600,4740,4880,4950,4900,4950,4880,4640,4760,4840,4980,5100,5130,4950,5030,5190,5330,5430
Trinidad and Tobago,12300,12500,12200,12000,12300,12900,13800,14800,15900,17200,18300,19000,20400,23300,25000,26400,29800,31000,32000,30400,31300,31000,31300,31400,31200,31500,29500,28800
Tunisia,5610,5710,6020,6020,6100,6130,6470,6730,6960,7310,7570,7790,7830,8140,8580,8800,9180,9700,10000,10200,10400,10100,10400,10600,10800,10800,10800,10800
Turkey,11400,11300,11700,12400,11600,12300,13000,13800,13900,13200,13900,12800,13500,14000,15200,16300,17300,17900,17800,16800,18000,19700,20300,21700,22400,23400,23800,25100
Turkmenistan,8320,7710,6370,6290,5070,4600,4820,4200,4440,5110,5330,5510,5470,5590,5810,6500,7120,7820,8840,9250,9940,11200,12200,13200,14300,15000,15600,16400
Tuvalu,2350,2430,2480,2570,2820,2670,2500,2740,3160,3100,3040,3060,3260,3110,3030,2880,2910,3060,3270,3100,2990,3180,3030,3140,3160,3420,3490,3580
Uganda,769,785,785,823,848,916,969,987,1000,1050,1050,1070,1120,1150,1190,1220,1310,1370,1440,1490,1520,1600,1610,1610,1640,1670,1690,1700
Ukraine,10500,9560,8610,7380,5720,5060,4590,4500,4450,4480,4800,5290,5620,6200,7000,7250,7830,8500,8740,7480,7820,8280,8320,8340,8240,7460,7670,7890
United Arab Emirates,110000,105000,103000,98200,99500,101000,102000,105000,100000,97800,103000,98700,95900,97800,98100,91800,88100,78800,71300,60800,57200,58400,59400,61700,63900,66600,67700,67300
United Kingdom,26800,26500,26500,27100,28100,28700,29300,30400,31300,32200,33300,34000,34700,35700,36300,37200,37800,38400,37900,36000,36400,36600,36900,37400,38300,38800,39300,39800
United States,37100,36500,37300,37800,38900,39500,40500,41800,43200,44700,46000,46000,46400,47300,48600,49800,50600,51000,50400,48600,49400,49800,50500,51000,51900,53000,53400,54200
Uruguay,9840,10100,10800,11000,11800,11500,12100,13000,13500,13200,12900,12400,11400,11500,12100,13000,13500,14300,15300,15900,17100,17900,18500,19300,19800,19800,20100,20600
Uzbekistan,3070,2990,2590,2480,2300,2240,2240,2310,2370,2450,2500,2580,2650,2730,2900,3070,3250,3530,3780,4020,4240,4470,4770,5070,5370,5700,6040,6250
Vanuatu,2550,2560,2550,2490,2650,2610,2610,2690,2760,2720,2820,2660,2470,2510,2540,2610,2760,2830,2940,2970,2950,2920,2900,2890,2890,2810,2860,2920
Venezuela,14500,15500,16100,15800,15100,15300,15000,15600,15400,14200,14400,14600,13100,11900,13800,14900,16100,17300,17900,17100,16500,17000,17700,17700,16700,,,
Vietnam,1450,1510,1600,1700,1820,1950,2100,2240,2340,2430,2560,2690,2830,3000,3200,3410,3610,3830,4010,4190,4410,4630,4820,5020,5260,5550,5840,6170
Yemen,3330,3370,3460,3420,3490,3530,3560,3630,3740,3770,3890,3930,3970,4000,4050,4160,4170,4190,4230,4270,4480,3810,3790,3870,3770,2310,1480,
Zambia,2340,2280,2180,2280,2030,2030,2100,2120,2050,2080,2100,2150,2190,2280,2380,2480,2610,2750,2880,3060,3280,3360,3510,3580,3630,3630,3650,3690
Zimbabwe,2610,2680,2380,2360,2530,2490,2700,2730,2760,2700,2580,2590,2330,1920,1790,1660,1580,1500,1220,1340,1470,1670,1870,1930,1930,1910,1880,1900
