country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Colombia,7530,7560,7800,7840,8160,8440,8480,8630,8550,8070,8310,8330,8420,8630,8960,9260,9760,10300,10500,10600,10900,11500,11800,12300,12700,13000,13100,13300
Comoros,1600,1470,1550,1550,1430,1440,1380,1400,1380,1370,1480,1480,1480,1470,1470,1470,1470,1450,1420,1420,1410,1410,1420,1440,1430,1410,1410,1410
"Congo, Dem. Rep.",1390,1220,1050,877,812,792,762,702,675,632,573,546,546,559,578,594,606,623,640,637,660,682,707,742,785,812,805,808
"Congo, Rep.",5140,5120,5110,4930,4530,4580,4650,4490,4520,4280,4480,4520,4600,4520,4540,4740,4880,4640,4730,4920,5190,5210,5270,5320,5540,5540,5250,4880
Costa Rica,7790,7790,8290,8660,8820,8960,8860,9130,9550,9710,9880,10000,10200,10500,10800,11000,11700,12400,12800,12500,13000,13400,13900,14000,14400,14700,15200,15500
Cote d'Ivoire,3190,3080,2970,2860,2790,2900,3030,3050,3110,3080,2950,2890,2790,2700,2690,2680,2670,2660,2670,2700,2690,2510,2710,2880,3050,3240,3420,3600
Croatia,,,,,,12600,13900,14600,15100,14700,15700,16200,17100,18000,18800,19500,20500,21600,22000,20400,20200,20800,20300,20300,20300,21000,21800,22700
Cyprus,23300,22900,24400,24000,24800,26500,26400,26700,27700,28800,30100,30800,31500,31900,32900,33700,34600,35500,36000,34400,33900,33200,31700,29900,29800,30500,31300,32400
Czech Republic,20000,17700,17600,17600,18100,19300,20100,20000,20000,20300,21200,21900,22300,23100,24200,25800,27500,28800,29400,27800,28400,28800,28500,28400,29100,30600,31300,32600
Denmark,33800,34200,34700,34600,36300,37200,38100,39200,39900,40900,42300,42500,42600,42600,43700,44600,46200,46400,45900,43400,44000,44400,44300,44600,45100,45500,46000,46700
Djibouti,,,,,,,,,,,,,,,,,,,,,,2710,,,,,,
Dominica,6730,6780,6910,7000,7080,7220,7440,7590,8020,8120,8180,8210,8050,8640,8880,8840,9080,9630,10300,10200,10200,10100,9980,9870,10300,9940,10200,9670
Dominican Republic,5480,5420,5910,6230,6280,6520,6790,7270,7630,7960,8200,8270,8510,8270,8360,9010,9700,10300,10500,10400,11100,11300,11500,11900,12700,13400,14100,14600
